num_carton;operateur;n_serie_concentrateur;affectation;etat;poste_pose;date_affectation;date_pose;date_dernier_etat
CB71B1147852;Bouygues;KB71O205687;Magasin;en_livraison;;05/01/2025;;05/01/2025
CB71B1147853;Bouygues;KB71O205688;Magasin;en_livraison;;12/06/2023;;12/06/2023
CB71B1147853;Bouygues;KB71O205689;Magasin;en_livraison;;21/01/2024;;21/01/2024
CB71B1147853;Bouygues;KB71O205690;Magasin;en_livraison;;10/08/2023;;10/08/2023
CB71B1147853;Bouygues;KB71O205691;Magasin;en_livraison;;09/03/2024;;09/03/2024
CB71B1147854;Bouygues;KB71O205692;Magasin;en_livraison;;25/02/2024;;25/02/2024
CB71B1147854;Bouygues;KB71O205693;Magasin;en_livraison;;19/12/2023;;19/12/2023
CB71B1147854;Bouygues;KB71O205694;Magasin;en_livraison;;28/03/2024;;28/03/2024
CB71B1147854;Bouygues;KB71O205695;Magasin;en_livraison;;24/03/2024;;24/03/2024
CB71B1147855;Bouygues;KB71O205696;Magasin;en_livraison;;11/01/2025;;11/01/2025
CB71B1147855;Bouygues;KB71O205697;Magasin;en_livraison;;18/04/2024;;18/04/2024
CB71B1147855;Bouygues;KB71O205698;Magasin;en_livraison;;20/07/2024;;20/07/2024
CB71B1147855;Bouygues;KB71O205699;Magasin;en_livraison;;01/10/2023;;01/10/2023
CB71B1147856;Bouygues;KB71O205700;Magasin;en_livraison;;05/11/2023;;05/11/2023
CB71B1147856;Bouygues;KB71O205701;Magasin;en_livraison;;06/12/2024;;06/12/2024
CB71B1147856;Bouygues;KB71O205702;Magasin;en_livraison;;21/01/2024;;21/01/2024
CB71B1147856;Bouygues;KB71O205703;Magasin;en_livraison;;29/03/2025;;29/03/2025
CB71B1147857;Bouygues;KB71O205704;Magasin;en_livraison;;16/01/2024;;16/01/2024
CB71B1147857;Bouygues;KB71O205705;Magasin;en_livraison;;16/03/2024;;16/03/2024
CB71B1147857;Bouygues;KB71O205706;Magasin;en_livraison;;31/01/2025;;31/01/2025
CB71B1147857;Bouygues;KB71O205707;Magasin;en_livraison;;04/01/2025;;04/01/2025
CB71B1147858;Bouygues;KB71O205708;Magasin;en_livraison;;23/01/2024;;23/01/2024
CB71B1147858;Bouygues;KB71O205709;Magasin;en_livraison;;19/07/2023;;19/07/2023
CB71B1147858;Bouygues;KB71O205710;Magasin;en_livraison;;17/07/2024;;17/07/2024
CB71B1147858;Bouygues;KB71O205711;Magasin;en_livraison;;02/12/2023;;02/12/2023
CB71B1147859;Bouygues;KB71O205712;Magasin;en_livraison;;02/07/2023;;02/07/2023
CB71B1147859;Bouygues;KB71O205713;Magasin;en_livraison;;01/11/2024;;01/11/2024
CB71B1147859;Bouygues;KB71O205714;Magasin;en_livraison;;26/09/2023;;26/09/2023
CB71B1147859;Bouygues;KB71O205715;Magasin;en_livraison;;24/09/2024;;24/09/2024
CB71B1147860;Bouygues;KB71O205716;Magasin;en_livraison;;16/09/2023;;16/09/2023
CB71B1147860;Bouygues;KB71O205717;Magasin;en_livraison;;21/06/2024;;21/06/2024
CB71B1147860;Bouygues;KB71O205718;Magasin;en_livraison;;27/06/2023;;27/06/2023
